file,word,n_candidates,candidates,correct_index,correct_unicode,confidence
ddieefu,điều,32,1=䌷(4337) 2=倏(500F) 3=嬲(5B32) 4=斢(65A2) 5=条(6761) 6=桃(6843) 7=條(689D) 8=樤(6A24) 9=碉(7889) 10=稠(7A20) 11=笤(7B24) 12=筱(7B71) 13=篠(7BE0) 14=絛(7D5B) 15=綢(7DA2) 16=縧(7E27) 17=绦(7EE6) 18=苕(82D5) 19=蓧(84E7) 20=蓨(84E8) 21=蜩(8729) 22=調(8ABF) 23=调(8C03) 24=迢(8FE2) 25=銚(929A) 26=铫(94EB) 27=鞗(9797) 28=髫(9AEB) 29=鰷(9C37) 30=鲦(9CA6) 31=齠(9F60) 32=龆(9F86),22,8ABF,high
ddowsn,đớn,1,1=疸(75B8),1,75B8,high
ghen,ghen,3,1=悭(60AD) 2=惚(60DA) 3=慳(6173),3,6173,high
ghest,ghét,4,1=𢢂(22882) 2=咭(54AD) 3=恄(6044) 4=結(7D50),3,6044,high
gia,gia,50,1=伽(4F3D) 2=倻(503B) 3=傢(50A2) 4=加(52A0) 5=咖(5496) 6=咱(54B1) 7=哿(54FF) 8=啫(556B) 9=喒(5592) 10=嗧(55E7) 11=嗻(55FB) 12=嘉(5609) 13=宊(5B8A) 14=家(5BB6) 15=捓(6353) 16=揶(63F6) 17=斜(659C) 18=枷(67B7) 19=椰(6930) 20=椵(6935) 21=泇(6CC7) 22=爷(7237) 23=爺(723A) 24=犌(728C) 25=猳(7333) 26=珈(73C8) 27=琊(740A) 28=瑘(7458) 29=痂(75C2) 30=瘕(7615) 31=突(7A81) 32=笳(7B33) 33=耞(801E) 34=耶(8036) 35=茄(8304) 36=荼(837C) 37=葭(846D) 38=蚜(869C) 39=諸(8AF8) 40=诸(8BF8) 41=豭(8C6D) 42=跏(8DCF) 43=迦(8FE6) 44=鎵(93B5) 45=铘(94D8) 46=镓(9553) 47=鴐(9D10) 48=鷓(9DD3) 49=鹧(9E67) 50=麚(9E9A),32,7B33,low
gif,gì,3,1=之(4E4B) 2=咦(54A6) 3=夷(5937),1,4E4B,high
giowr,giở,6,1=𠶁(20D81) 2=𡁎(2104E) 3=𢷣(22DE3) 4=𧿨(27FE8) 5=者(8005) 6=阻(963B),3,22DE3,high
hoofng,hồng,30,1=𣖘(23598) 2=吰(5430) 3=吽(543D) 4=哄(54C4) 5=洚(6D1A) 6=洪(6D2A) 7=渱(6E31) 8=灴(7074) 9=烘(70D8) 10=竑(7AD1) 11=紅(7D05) 12=红(7EA2) 13=缸(7F38) 14=羾(7FBE) 15=翃(7FC3) 16=荭(836D) 17=葒(8452) 18=葓(8453) 19=蕻(857B) 20=虹(8679) 21=訋(8A0B) 22=訌(8A0C) 23=讧(8BA7) 24=谼(8C3C) 25=谾(8C3E) 26=鈜(921C) 27=鉷(9277) 28=魟(9B5F) 29=鴻(9D3B) 30=鸿(9E3F),11,7D05,high
kheso,khéo,5,1=呌(544C) 2=濕(6FD5) 3=矯(77EF) 4=窖(7A96) 5=靠(9760),4,7A96,high
laafn,lần,7,1=𠞺(207BA) 2=𡫫(21AEB) 3=𢭹(22B79) 4=𨁮(2806E) 5=吝(541D) 6=寅(5BC5) 7=路(8DEF),5,541D,high
laf,là,5,1=𪜀(2A700) 2=𪡔(2A854) 3=纙(7E99) 4=罗(7F57) 5=羅(7F85),4,7F57,high
laj,lạ,13,1=𡄀(21100) 2=𡆗(21197) 3=𡚎(2168E) 4=𤳧(24CE7) 5=𤴏(24D0F) 6=𦍉(26349) 7=𨓐(284D0) 8=𨔍(2850D) 9=吕(5415) 10=呂(5442) 11=罗(7F57) 12=逻(903B) 13=邏(908F),8,2850D,high
lofng,lòng,2,1=𢚸(226B8) 2=弄(5F04),1,226B8,high
lujc,lục,40,1=𥭼(25B7C) 2=䱚(4C5A) 3=僇(50C7) 4=六(516D) 5=剝(525D) 6=剥(5265) 7=剹(5279) 8=勠(52E0) 9=坴(5774) 10=彔(5F54) 11=录(5F55) 12=慮(616E) 13=戮(622E) 14=氯(6C2F) 15=淥(6DE5) 16=渌(6E0C) 17=琭(742D) 18=甪(752A) 19=睩(7769) 20=碌(788C) 21=磟(78DF) 22=祿(797F) 23=稑(7A11) 24=穋(7A4B) 25=箓(7B93) 26=籙(7C59) 27=綠(7DA0) 28=緑(7DD1) 29=绿(7EFF) 30=菉(83C9) 31=蓼(84FC) 32=踛(8E1B) 33=逯(902F) 34=醁(9181) 35=錄(9304) 36=録(9332) 37=錴(9334) 38=陆(9646) 39=陸(9678) 40=騄(9A04),35,9304,high
mas,má,8,1=𥡗(25857) 2=𦟐(267D0) 3=𦢷(268B7) 4=䔍(450D) 5=傆(5086) 6=傌(508C) 7=媽(5ABD) 8=磨(78E8),2,267D0,high
meejnh,mệnh,2,1=𠇮(201EE) 2=命(547D),2,547D,high
minh,minh,22,1=𨠲(28832) 2=冥(51A5) 3=嫇(5AC7) 4=明(660E) 5=暝(669D) 6=朙(6719) 7=洺(6D3A) 8=溟(6E9F) 9=盟(76DF) 10=眀(7700) 11=瞑(7791) 12=茗(8317) 13=萌(840C) 14=蓂(84C2) 15=螟(879F) 16=覭(89AD) 17=鄍(910D) 18=酩(9169) 19=銘(9298) 20=铭(94ED) 21=鳴(9CF4) 22=鸣(9E23),4,660E,high
moojt,một,9,1=𠬠(20B20) 2=歾(6B7E) 3=歿(6B7F) 4=殁(6B81) 5=沒(6C92) 6=没(6CA1) 7=痗(75D7) 8=蔑(8511) 9=車(8ECA),6,6CA1,med
nawm,năm,4,1=𠄼(2013C) 2=𢆥(221A5) 3=南(5357) 4=年(5E74),2,221A5,high
nguwowsi,người,5,1=𠊚(2029A) 2=𠊛(2029B) 3=㝵(3775) 4=倘(5018) 5=皚(769A),2,2029B,high
nhau,nhau,9,1=𠑬(2046C) 2=𦣗(268D7) 3=僥(50E5) 4=憢(61A2) 5=澆(6F86) 6=胞(80DE) 7=膮(81AE) 8=蹺(8E7A) 9=饒(9952),9,9952,high
nhuwxng,những,4,1=𠯹(20BF9) 2=仍(4ECD) 3=忍(5FCD) 4=氄(6C04),2,4ECD,high
phong,phong,35,1=𧔧(27527) 2=丯(4E2F) 3=丰(4E30) 4=夆(5906) 5=妦(59A6) 6=封(5C01) 7=峯(5CEF) 8=峰(5CF0) 9=枫(67AB) 10=楓(6953) 11=沣(6CA3) 12=沨(6CA8) 13=渢(6E22) 14=灃(7043) 15=烽(70FD) 16=犎(728E) 17=疯(75AF) 18=瘋(760B) 19=砜(781C) 20=碸(78B8) 21=葑(8451) 22=蘴(8634) 23=蜂(8702) 24=蠭(882D) 25=豊(8C4A) 26=豐(8C50) 27=酆(9146) 28=鋒(92D2) 29=锋(950B) 30=風(98A8) 31=颯(98AF) 32=飌(98CC) 33=风(98CE) 34=飒(98D2) 35=麷(9EB7),30,98A8,high
phong_1,phong,35,1=𧔧(27527) 2=丯(4E2F) 3=丰(4E30) 4=夆(5906) 5=妦(59A6) 6=封(5C01) 7=峯(5CEF) 8=峰(5CF0) 9=枫(67AB) 10=楓(6953) 11=沣(6CA3) 12=沨(6CA8) 13=渢(6E22) 14=灃(7043) 15=烽(70FD) 16=犎(728E) 17=疯(75AF) 18=瘋(760B) 19=砜(781C) 20=碸(78B8) 21=葑(8451) 22=蘴(8634) 23=蜂(8702) 24=蠭(882D) 25=豊(8C4A) 26=豐(8C50) 27=酆(9146) 28=鋒(92D2) 29=锋(950B) 30=風(98A8) 31=颯(98AF) 32=飌(98CC) 33=风(98CE) 34=飒(98D2) 35=麷(9EB7),26,8C50,high
qua,qua,28,1=𣏾(233FE) 2=𦨜(26A1C) 3=剐(5250) 4=剮(526E) 5=劀(5280) 6=呱(5471) 7=咼(54BC) 8=埚(57DA) 9=堝(581D) 10=戈(6208) 11=找(627E) 12=挝(631D) 13=撾(64BE) 14=檛(6A9B) 15=涡(6DA1) 16=渦(6E26) 17=濄(6FC4) 18=瓜(74DC) 19=瘑(7611) 20=瘸(7638) 21=簻(7C3B) 22=胍(80CD) 23=薖(8596) 24=蝸(8778) 25=过(8FC7) 26=過(904E) 27=騧(9A27) 28=髽(9AFD),10,6208,high
quen,quen,5,1=悁(6081) 2=慣(6163) 3=捐(6350) 4=涓(6D93) 5=貫(8CAB),4,6D93,high
rawfng,rằng,4,1=𪘵(2A635) 2=㖫(35AB) 3=哴(54F4) 4=浪(6D6A),4,6D6A,high
sawsc,sắc,19,1=𪁅(2A045) 2=勅(52C5) 3=勑(52D1) 4=啬(556C) 5=嗇(55C7) 6=圾(573E) 7=敕(6555) 8=槭(69ED) 9=濇(6FC7) 10=穑(7A51) 11=穡(7A61) 12=簌(7C0C) 13=色(8272) 14=蔷(8537) 15=薔(8594) 16=轖(8F56) 17=銫(92AB) 18=铯(94EF) 19=骰(9AB0),5,55C7,high
suwr,sử,5,1=使(4F7F) 2=史(53F2) 3=盨(76E8) 4=駛(99DB) 5=驶(9A76),2,53F2,high
ta,ta,25,1=𢧲(229F2) 2=些(4E9B) 3=仨(4EE8) 4=偺(507A) 5=傞(509E) 6=咱(54B1) 7=喒(5592) 8=嗟(55DF) 9=嵯(5D6F) 10=差(5DEE) 11=挱(6331) 12=挲(6332) 13=爹(7239) 14=獻(737B) 15=瘥(7625) 16=糌(7CCC) 17=罝(7F5D) 18=莎(838E) 19=莏(838F) 20=虘(8658) 21=酇(9147) 22=醝(919D) 23=髿(9AFF) 24=鹺(9E7A) 25=鹾(9E7E),2,4E9B,high
tafi,tài,9,1=扌(624C) 2=才(624D) 3=材(6750) 4=栽(683D) 5=纔(7E94) 6=裁(88C1) 7=財(8CA1) 8=财(8D22) 9=鼒(9F12),2,624D,high
thaasy,thấy,2,1=𧡊(2784A) 2=体(4F53),1,2784A,high
thowm,thơm,3,1=𦹳(26E73) 2=𩡋(2984B) 3=貪(8CAA),1,26E73,high
tifnh,tình,6,1=情(60C5) 2=成(6210) 3=晴(6674) 4=氰(6C30) 5=睛(775B) 6=請(8ACB),1,60C5,high
tixnh,tĩnh,13,1=井(4E95) 2=净(51C0) 3=凈(51C8) 4=浄(6D44) 5=淨(6DE8) 6=睁(7741) 7=睜(775C) 8=竫(7AEB) 9=靓(9753) 10=靖(9756) 11=静(9759) 12=靚(975A) 13=靜(975C),10,9756,high
trari,trải,11,1=𣥱(23971) 2=𣦆(23986) 3=𣦰(239B0) 4=𦃀(260C0) 5=戴(6234) 6=攊(650A) 7=菙(83D9) 8=萴(8434) 9=葺(847A) 10=豸(8C78) 11=賴(8CF4),3,239B0,low
trawm,trăm,4,1=𤾓(24F93) 2=啉(5549) 3=林(6797) 4=百(767E),1,24F93,high
trieefu,triều,6,1=𦺓(26E93) 2=晁(6641) 3=朝(671D) 4=潮(6F6E) 5=鼂(9F02) 6=鼌(9F0C),3,671D,high
trong,trong,14,1=𡧲(219F2) 2=𤁘(24058) 3=𤄯(2412F) 4=𥪝(25A9D) 5=𥪞(25A9E) 6=𪚚(2A69A) 7=中(4E2D) 8=共(5171) 9=冲(51B2) 10=宮(5BAE) 11=工(5DE5) 12=沖(6C96) 13=滝(6EDD) 14=番(756A),4,25A9D,high
troong,trông,8,1=𥉩(25269) 2=𥉫(2526B) 3=𥊛(2529B) 4=𪚤(2A6A4) 5=𪱯(2AC6F) 6=矓(77D3) 7=筭(7B6D) 8=篭(7BED),8,7BED,high
trowfi,trời,3,1=𠅜(2015C) 2=𡗶(215F6) 3=沈(6C88),2,215F6,high
truwowsc,trước,12,1=𠓀(204C0) 2=𠓍(204CD) 3=𠠩(20829) 4=𨎟(2839F) 5=𨎠(283A0) 6=斮(65AE) 7=櫡(6AE1) 8=略(7565) 9=畧(7567) 10=着(7740) 11=竹(7AF9) 12=著(8457),1,204C0,high
truyeefn,truyền,3,1=伝(4F1D) 2=传(4F20) 3=傳(50B3),3,50B3,high
tuw,tư,97,1=𢪀(22A80) 2=𦊛(2629B) 3=仔(4ED4) 4=俬(4FEC) 5=偲(5072) 6=兹(5179) 7=凘(51D8) 8=厮(53AE) 9=厶(53B6) 10=司(53F8) 11=吱(5431) 12=咀(5480) 13=咨(54A8) 14=嗞(55DE) 15=嘶(5636) 16=四(56DB) 17=奀(5940) 18=姿(59FF) 19=孖(5B56) 20=孜(5B5C) 21=孳(5B73) 22=孶(5B76) 23=嵫(5D6B) 24=廝(5EDD) 25=思(601D) 26=慈(6148) 27=斯(65AF) 28=次(6B21) 29=沮(6CAE) 30=湑(6E51) 31=滋(6ECB) 32=澌(6F8C) 33=玆(7386) 34=瓷(74F7) 35=皏(768F) 36=禗(7997) 37=禠(79A0) 38=私(79C1) 39=粢(7CA2) 40=糈(7CC8) 41=糍(7CCD) 42=緦(7DE6) 43=缌(7F0C) 44=罝(7F5D) 45=罳(7F73) 46=胥(80E5) 47=腮(816E) 48=苴(82F4) 49=茲(8332) 50=菑(83D1) 51=薋(858B) 52=虒(8652) 53=蛳(86F3) 54=螄(8784) 55=蟖(87D6) 56=蟴(87F4) 57=西(897F) 58=覗(8997) 59=觜(89DC) 60=訾(8A3E) 61=諝(8ADD) 62=諮(8AEE) 63=谘(8C18) 64=谞(8C1E) 65=貲(8CB2) 66=資(8CC7) 67=赀(8D40) 68=资(8D44) 69=趑(8D91) 70=趦(8DA6) 71=醑(9191) 72=鉏(924F) 73=鋖(92D6) 74=鍶(9376) 75=鎡(93A1) 76=鐁(9401) 77=锶(9536) 78=镃(9543) 79=頾(983E) 80=颸(98B8) 81=餈(9908) 82=髭(9AED) 83=鰓(9C13) 84=鰦(9C26) 85=鳃(9CC3) 86=鶿(9DBF) 87=鷀(9DC0) 88=鷥(9DE5) 89=鸒(9E12) 90=鸶(9E36) 91=鹚(9E5A) 92=鼒(9F12) 93=鼶(9F36) 94=齊(9F4A) 95=齍(9F4D) 96=齎(9F4E) 97=齐(9F50),27,65AF,high
vowsi,với,9,1=𠇍(201CD) 2=𢭲(22B72) 3=众(4F17) 4=唄(5504) 5=喟(559F) 6=拜(62DC) 7=某(67D0) 8=貝(8C9D) 9=買(8CB7),8,8C9D,high
xanh,xanh,18,1=𣛟(236DF) 2=𥑥(25465) 3=𩇢(291E2) 4=撐(6490) 5=撑(6491) 6=橕(6A55) 7=牚(725A) 8=生(751F) 9=瞠(77A0) 10=赪(8D6A) 11=赬(8D6C) 12=鉎(924E) 13=錆(9306) 14=鐣(9423) 15=鐺(943A) 16=铛(94DB) 17=青(9752) 18=頳(9833),5,6491,med
